Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2012-07-10,10.670400619506836,10.823418585960132,10.631544988853967,10.79898348476798,1624392
2012-07-11,10.557442665100098,10.799386908569245,10.48373645877483,10.799386908569245,1936737
2012-07-12,10.689230918884277,10.87149089468416,10.53461086836558,10.557443948778888,3101472
2012-07-13,10.70405101776123,10.775352667231319,10.604709317291784,10.647169901114719,1191762
2012-07-16,10.721273422241211,10.807796602575703,10.655579644302481,10.69483540561186,3666069
2012-07-17,10.636754989624023,10.743306576224832,10.496955622882622,10.67160479902883,3177801
2012-07-18,10.56304931640625,10.718871241636007,10.478929923233888,10.69563879224845,1185822
2012-07-19,10.614724159240723,10.65397992907541,10.559044941354617,10.60310679919735,2523609
2012-07-20,10.494153022766113,10.638759252005118,10.4328659407998,10.579874457851668,547371
2012-07-23,10.422050476074219,10.533809807863857,10.254611164784663,10.454897375260005,842193
2012-07-24,10.249002456665039,10.630746054851484,10.21335087687907,10.630746054851484,2363328
2012-07-25,10.07435417175293,10.25541223406127,9.98382514059876,10.255011348523182,8168094
2012-07-26,10.002249717712402,10.118414980087868,9.861649351572492,10.094780890868744,1497375
2012-07-27,9.912920951843262,10.24659680519003,9.821190801509637,9.97340775579035,1119294
2012-07-30,9.182684898376465,9.973011201397345,9.057306034625372,9.815186320878231,13564089
2012-07-31,9.310063362121582,9.437444339371432,8.980794197214834,9.171065783135441,46945602
2012-08-01,9.785943031311035,9.82199474444757,9.374958191159074,9.41381307759322,7482024
2012-08-02,10.348742485046387,10.452490122362324,9.169863230199448,9.169863230199448,6091767
2012-08-03,10.18851375579834,10.430458701349306,10.093978920647542,10.182905898124371,2840409
2012-08-06,10.16728687286377,10.410833928899079,10.054326397930232,10.254611094252274,12175515
2012-08-07,10.208144187927246,10.57506713493323,9.934154066923671,9.934154066923671,2860605
2012-08-08,10.238987922668457,10.335126324804326,9.902108680761394,10.335126324804326,2694186
2012-08-09,10.10479736328125,10.253408648075649,10.057129050371069,10.238987359077608,397386
2012-08-10,10.103998184204102,10.20654396805371,9.97461424303296,9.98823376450107,2237499
2012-08-13,10.13924503326416,10.174494967600138,9.950976361592883,10.134437433267605,669141
2012-08-14,10.082367897033691,10.13444142632437,10.055128853721671,10.133240282239635,884367
2012-08-16,10.04391098022461,10.133638239453532,10.014268142320764,10.0863708094089,351846
2012-08-17,10.091580390930176,10.141651759738128,10.014269979650969,10.014269979650969,654390
2012-08-21,10.091580390930176,10.10199509646685,9.934156394668594,10.092381405757928,2271357
2012-08-22,10.13003158569336,10.25701319183424,9.982221332203489,10.246597733578234,2502126
2012-08-23,10.075153350830078,10.134437503622067,10.022678199842593,10.133236360002254,4602213
2012-08-24,9.826801300048828,10.089976604679466,9.749891787766883,10.063137696100588,1344717
2012-08-27,9.854439735412598,9.934153165261723,9.737071813408374,9.862050508384044,2732202
